SplitID,SplitIndex,Split,StrokeRate
6184,8,13755,
6185,2,3269,
6185,4,7139,
6186,2,3725,
6186,4,8009,
6186,6,12706,
6186,8,16379,
6187,4,7778,
6189,2,2919,
6189,4,6242,
6190,2,3730,
6190,4,7878,
6191,2,3713,
6191,4,7996,
6192,2,2484,
6192,4,5367,
6192,6,8537,
6192,8,11774,
6193,2,2607,
6193,4,5378,
6194,2,2696,
6194,4,5843,
6195,2,3251,
6195,4,7168,
6196,2,3315,
6196,4,7454,
6196,6,12159,
6196,8,15868,
6197,2,3139,
6197,4,6789,
6198,2,3321,
6198,4,7195,
6199,2,3455,
6199,4,7070,
6200,2,3708,
6200,4,7647,
6200,6,12638,
6200,8,16488,
6201,2,3619,
6201,4,7663,
6203,2,2705,
6203,4,5848,
6204,2,3367,
6204,4,7361,
6204,6,12164,
6204,8,15676,
6205,2,3564,
6205,4,7458,
6206,2,3127,
6206,4,6570,
6206,6,10321,
6206,8,14015,
6207,2,3090,
6207,4,6395,
6209,2,3231,
6209,4,7204,
6211,2,2762,
6211,4,5773,
6213,2,4752,
6213,4,9861,
6215,2,3638,
6215,4,7968,
6215,6,12466,
6215,8,16962,
6215,10,21392,
6215,12,26013,
6215,14,30554,
6215,16,35192,
6215,18,39537,
6215,20,43658,
6216,2,3538,
6216,8,19689,
6216,14,37035,
6216,16,42614,
6216,18,48170,
6216,20,53292,
6217,2,3182,
6217,4,6944,
6217,6,11185,
6217,8,15389,
6218,2,3014,
6218,4,6635,
6219,2,3337,
6219,4,7212,
6219,6,11702,
6219,8,15017,
6220,2,2857,
6220,4,5935,
6221,2,3275,
6221,4,7139,
6221,6,11117,
6221,8,14954,
6222,2,3512,
6222,4,7437,
6222,6,11532,
6222,8,15555,
6222,10,19616,
6222,12,23674,
6222,14,27775,
6222,16,31851,
6222,18,35812,
6222,20,39526,
6223,4,8073,
6223,6,12743,
6223,8,17409,
6223,10,22004,
6223,14,31293,
6223,20,44426,
6224,2,4426,
6224,4,9332,
6225,2,3110,
6225,4,6633,
6225,6,10412,
6225,8,14006,
6226,2,3588,
6226,4,7412,
6227,2,3549,
6227,4,7583,
6228,2,4303,
6228,4,9171,
6229,2,9168,
6229,8,10493,
6231,2,3197,
6231,4,6804,
6231,6,9788,
6231,8,12293,
6233,2,2296,
6233,4,4789,
6233,6,7239,
6233,8,9674,
6235,2,2709,
6235,4,5428,
6235,6,8190,
6235,8,10768,
6237,2,2819,
6237,4,6012,
6237,6,8986,
6237,8,12476,
6237,10,15271,
6237,12,18567,
6237,14,21340,
6237,16,24657,
6239,2,2983,
6239,4,6318,
6239,6,9332,
6239,8,12569,
6239,10,15484,
6239,12,18726,
6239,14,21576,
6239,16,24958,
6244,2,2816,
6244,4,6166,
6244,6,9733,
