MEET,MNAME,START,END,AGEUP,SINCE,COURSE,REMARKS,INDCHARGE,RELCHARGE,SURCHARGE,TYPE,SANCTION,MaxIndEnt,MaxRelEnt,MaxEnt,Location,RestrictBest,NonConform,EnforceQualifying,EnterAtQTime,MinAge,FacilityFee,TeamFee,Instructions,Altitude,EnforceSlowQtime,BanNoTimes,Lanes,EvenOrOdd,FastToSlow,Masters,ActiveFeeXMLSent,MinAge10AndUnder,SeedLanes,DeadLine,ActiveMeetID,OnlyPreEntered,CustIndCharge,CustRelCharge,CustSurCharge,CustIndAction,CustRelAction,CustSurAction,UseCustomFees,Addr,Addr2,City,State,ZIP,Cntry,OMEEntryStyle,SwimmerEntryDeadLine,SwimmerEntryOpen,AllowCustomTimes,ExportEntriesDate,LastSyncDate,FinalizeEntriesDate,UseSwimmersTeam,HonorInviteList,EntryTeam,EMailFrom,EMailSubject,EMailText,EntryEMailFrom,EntryEMailSubject,EntryEMailText,OMEBillDate,InviteEmailDate,CollectFeesOnline,OMEValidated,OMECustomTeam,OMEFilterTeam,OMENeedSync,License,OMENeedsSync,MeetSharingStatus,FileExportType,MeetRegistrationOpens,MeetRegistrationCloses,MeetSharingMeetID,MeetSharingPayStatus,MeetSharingResultDate,EV3Version
56,"SST vs. O'Connell","01/11/03 00:00:00","01/11/03 00:00:00",,,"Y",,0,0,0,"HS",,0,0,0,"FAST Aquatic Center",0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
57,"SST vs FA, ECS, FC","01/18/03 00:00:00","01/18/03 00:00:00",,,"S",,0,0,0,,,0,0,0,"Fredericksburg Academy",0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
59,"SST vs. MMA, WoL","01/25/03 00:00:00","01/25/03 00:00:00",,,"Y",,0,0,0,,,0,0,0,"FAST Aquatic Center",0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
60,"SST vs. FA, Highland, RMA","02/01/03 00:00:00","02/01/03 00:00:00",,,"S",,0,0,0,,,0,0,0,"Fredericksburg Academy",0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
61,"2003 DAC Championships","02/08/03 00:00:00","02/08/03 00:00:00",,,"S",,0,0,0,,,0,0,0,"Fredericksburg Academy",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
62,"SST vs N. Stafford","01/05/02 00:00:00","01/05/02 00:00:00",,,"Y",,,,,"HS",,,,,"Dale City Rec.",0,,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
63,"SST vs FA, MMA, High","01/12/02 00:00:00","01/12/02 00:00:00",,,"S",,,,,"HS",,,,,"Fredericksburg Academy",0,,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
64,"2002 DAC Championship","02/09/02 00:00:00","02/09/02 00:00:00",,,"S",,0,0,0,"HS",,,,,"Fredericksburg Academy",0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
65,"RMA vs SETON","01/26/02 00:00:00","01/26/02 00:00:00",,,"Y",,,,,"HS",,,,,"Dale City REc.",0,,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
66,"FA, FCS, RMA vs Seton","02/02/02 00:00:00","02/02/02 00:00:00",,,"S",,,,,"HS",,,,,"Fredericksburg Academy",0,,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
